Orig_ID,Library_ref,R_ID,Int_Type,Intervention,LLIN_Gen,Mosquito_species,Species_clean,Hut,my_species,Insecticide,Insecticide_class,R_Site,Site_number,is.comb,Ins_type,control,is_treat,is_washed,No_washes,field_age,Nights_collect,Nights_known,Totals_known,N_total,N_fed,N_exited,N_24h_mort,N_72h_mort,N_dead_comb,N_Control,pc_Deterred,pc_dead,pc_dead_chlor,pc_fed,pc_dead_comb,pc_veranda,year,Data_public,Data_visible,plot_code,Note
7,7,3,LLIN,Olyset Plus,2,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin + PBO,pyrethroid + PBO,Cove_Benin,3,2,11,0,1,0,0,0,36,1,1,317,27,235,27,,27,243,-30.4526749,8.517350158,,10.71428571,8.517350158,74.13249211,,1,1,0,
8,9,4,Untreated net,Untreated,NA,An. arabiensis,An. gambiae s.l.,East,3,untreated,untreated,GGDam_Ethopia,6,1,1,1,0,0,0,0,40,1,1,511,301,211,294,,294,NA,0,57.53424658,,58.90410959,57.53424658,41.29158513,,1,1,0,
8,9,4,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,GGDam_Ethopia,6,1,3,0,1,0,0,0,40,1,1,426,235,210,247,,247,511,16.63405088,57.98122066,,55.16431925,57.98122066,49.29577465,,1,1,0,
9,10,5,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,Pissy_BurkinaFaso,21,1,1,1,0,0,0,0,120,1,1,210,156,91,28,,28,NA,0,13.33333333,,74.28571429,13.33333333,43.33333333,,1,1,0,
9,10,5,LLIN_Dip,Fendona 6SC,1,An. gambiae s.l.,An. gambiae s.l.,West,3,alphacypermethrin,pyrethroid,Pissy_BurkinaFaso,21,1,2,0,1,0,0,0,120,1,1,270,140,161,211,,211,210,28.57142857,78.14814815,,51.85185185,78.14814815,59.62962963,,1,1,0,
9,10,5,LLIN_Dip,K-O TAB,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Pissy_BurkinaFaso,21,1,3,0,1,0,0,0,120,1,1,242,131,157,183,,183,210,-15.23809524,75.61983471,,54.1322314,75.61983471,64.87603306,,1,1,0,
9,10,5,LLIN,PermaNet,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Pissy_BurkinaFaso,21,1,3,0,1,0,0,0,120,1,1,241,119,147,206,,206,210,-14.76190476,85.47717842,,49.37759336,85.47717842,60.99585062,,1,1,0,
9,10,5,LLIN,Interceptor,1,An. gambiae s.l.,An. gambiae s.l.,West,3,alphacypermethrin,pyrethroid,Pissy_BurkinaFaso,21,1,2,0,1,0,0,0,120,1,1,232,127,148,180,,180,210,-10.47619048,77.5862069,,54.74137931,77.5862069,63.79310345,,1,1,0,
9,10,5,LLIN,Interceptor,1,An. gambiae s.l.,An. gambiae s.l.,West,3,alphacypermethrin,pyrethroid,Pissy_BurkinaFaso,21,1,2,0,1,1,20,0,120,1,1,197,112,108,153,,153,210,6.19047619,77.66497462,,56.85279188,77.66497462,54.82233503,,1,1,0,
10,11,6,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,VDK_BurkinaFaso,27,1,1,1,0,0,0,0,49,1,1,963,659,221,127,,127,NA,0,13.18795431,,68.43198339,13.18795431,22.94911734,,1,1,0,
10,11,6,LLIN,Olyset Net,1,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin,pyrethroid,VDK_BurkinaFaso,27,1,4,0,1,0,0,0,49,1,1,1295,643,583,275,,275,963,-34.47559709,21.23552124,,49.65250965,21.23552124,45.01930502,,1,1,0,
10,11,6,LLIN,Olyset Net,1,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin,pyrethroid,VDK_BurkinaFaso,27,1,4,0,1,1,20,0,49,1,1,1728,1232,540,213,,213,963,-79.43925234,12.32638889,,71.2962963,12.32638889,31.25,,1,1,0,
10,11,6,LLIN,PPF,2,An. gambiae s.l.,An. gambiae s.l.,West,4,pyriproxyfen,juvenile hormone mimic,VDK_BurkinaFaso,27,1,12,0,1,0,0,0,49,1,1,1347,843,337,258,,258,963,-39.87538941,19.15367483,,62.58351893,19.15367483,25.01855976,,1,1,0,
10,11,6,LLIN,PPF,2,An. gambiae s.l.,An. gambiae s.l.,West,5,pyriproxyfen,juvenile hormone mimic,VDK_BurkinaFaso,27,1,12,0,1,1,20,0,49,1,1,1104,842,214,145,,145,963,-14.64174455,13.13405797,,76.26811594,13.13405797,19.38405797,,1,1,0,
10,11,6,LLIN,Olyset Duo,2,An. gambiae s.l.,An. gambiae s.l.,West,6,permethrin + pyriproxyfen,pyrethroid + juvenile hormone mimic,VDK_BurkinaFaso,27,2,13,0,1,0,0,0,49,1,1,840,178,456,278,,278,963,12.77258567,33.0952381,,21.19047619,33.0952381,54.28571429,,1,1,0,
10,11,6,LLIN,Olyset Duo,2,An. gambiae s.l.,An. gambiae s.l.,West,7,permethrin + pyriproxyfen,pyrethroid + juvenile hormone mimic,VDK_BurkinaFaso,27,2,13,0,1,1,20,0,49,1,1,1517,770,570,297,,297,963,-57.52855659,19.5781147,,50.75807515,19.5781147,37.57415953,,1,1,0,
12,13,7,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Mbe_Cotedivoire,16,1,1,1,0,0,0,0,36,1,1,611,300,180,74,89,89,NA,0,12.11129296,14.56628478,49.09983633,12.11129296,29.4599018,,1,1,0,
12,13,7,LLIN,Interceptor,1,An. gambiae s.s.,An. gambiae s.l.,West,3,alphacypermethrin,pyrethroid,Mbe_Cotedivoire,16,1,2,0,1,0,0,0,36,1,1,255,128,114,49,59,49,611,58.26513912,19.21568627,,50.19607843,19.21568627,44.70588235,,1,1,0,
12,13,7,LLIN,Interceptor,1,An. gambiae s.s.,An. gambiae s.l.,West,3,alphacypermethrin,pyrethroid,Mbe_Cotedivoire,16,1,2,0,1,1,20,0,36,1,1,348,158,160,67,83,67,611,43.04418985,19.25287356,,45.40229885,19.25287356,45.97701149,,1,1,0,
12,13,7,CTN,chlorfenapyr,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,chlorfenapyr,pyrrole,Mbe_Cotedivoire,16,1,14,0,1,0,0,0,36,1,1,314,71,180,281,294,294,611,48.60883797,89.49044586,93.63057325,22.61146497,93.63057325,57.32484076,,1,1,0,
12,13,7,LLIN,Interceptor G2,2,An. gambiae s.s.,An. gambiae s.l.,West,3,alphacypermethrin + chlorfenapyr,pyrethroid + pyrrole,Mbe_Cotedivoire,16,2,15,0,1,0,0,0,36,1,1,305,86,204,264,278,278,611,50.08183306,86.55737705,91.14754098,28.19672131,91.14754098,66.8852459,,1,1,0,
12,13,7,LLIN,Interceptor G2,2,An. gambiae s.s.,An. gambiae s.l.,West,3,alphacypermethrin + chlorfenapyr,pyrethroid + pyrrole,Mbe_Cotedivoire,16,2,15,0,1,1,20,0,36,1,1,369,120,202,305,311,311,611,39.60720131,82.65582656,84.28184282,32.5203252,84.28184282,54.74254743,,1,1,0,
13,14,8,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,VDK_BurkinaFaso,27,1,1,1,0,0,0,0,80,1,1,422,398,133,22,,22,NA,0,5.213270142,,94.31279621,5.213270142,31.51658768,,1,1,0,
13,14,8,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,VDK_BurkinaFaso,27,1,4,0,1,0,0,0,80,1,1,246,43,189,156,,156,422,41.70616114,63.41463415,,17.4796748,63.41463415,76.82926829,,1,1,0,
14,15,9,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Malanville_Benin,15,1,1,1,0,0,0,0,72,1,1,285,107,122,12,,12,NA,0,4.210526316,,37.54385965,4.210526316,42.80701754,,1,1,0,
14,15,9,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,0,0,0,72,1,1,243,9,149,216,,216,285,14.73684211,88.88888889,,3.703703704,88.88888889,61.31687243,,1,1,0,
14,15,9,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,20,0,72,1,1,195,12,117,138,,138,285,31.57894737,70.76923077,,6.153846154,70.76923077,60,,1,1,0,
14,15,9,CTN,deltamethrin,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,3,0,72,1,1,297,31,169,182,,182,285,-4.210526316,61.27946128,,10.43771044,61.27946128,56.9023569,,1,1,0,
14,15,9,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Malanville_Benin,15,2,10,0,1,0,0,0,72,1,1,214,1,113,207,,207,285,24.9122807,96.72897196,,0.46728972,96.72897196,52.80373832,,1,1,0,
14,15,9,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Malanville_Benin,15,2,10,0,1,1,20,0,72,1,1,210,27,142,147,,147,285,26.31578947,70,,12.85714286,70,67.61904762,,1,1,0,
15,15,10,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,VDK_BurkinaFaso,27,1,1,1,0,0,0,0,36,1,1,908,687,288,44,,44,NA,0,4.845814978,,75.66079295,4.845814978,31.71806167,,1,1,0,
15,15,10,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,VDK_BurkinaFaso,27,1,3,0,1,0,0,0,36,1,1,329,116,265,146,,146,908,63.76651982,44.3768997,,35.25835866,44.3768997,80.54711246,,1,1,0,
15,15,10,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,VDK_BurkinaFaso,27,1,3,0,1,1,20,0,36,1,1,788,382,533,238,,238,908,13.21585903,30.20304569,,48.47715736,30.20304569,67.63959391,,1,1,0,
15,15,10,CTN,deltamethrin,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,VDK_BurkinaFaso,27,1,3,0,1,1,3,0,36,1,1,1056,522,635,302,,302,908,-16.29955947,28.59848485,,49.43181818,28.59848485,60.13257576,,1,1,0,
15,15,10,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,4,deltamethrin + PBO,pyrethroid + PBO,VDK_BurkinaFaso,27,2,10,0,1,0,0,0,36,1,1,463,96,369,362,,362,908,49.00881057,78.18574514,,20.73434125,78.18574514,79.69762419,,1,1,0,
15,15,10,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,5,deltamethrin + PBO,pyrethroid + PBO,VDK_BurkinaFaso,27,2,10,0,1,1,20,0,36,1,1,724,263,548,357,,357,908,20.26431718,49.30939227,,36.32596685,49.30939227,75.69060773,,1,1,0,
16,15,11,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,Pitoa_Cameroon,22,1,1,1,0,0,0,0,36,1,1,401,109,146,52,,52,NA,0,12.96758105,,27.18204489,12.96758105,36.40897756,,1,1,0,
16,15,11,LLIN,PermaNet 2.0,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Pitoa_Cameroon,22,1,3,0,1,0,0,0,36,1,1,105,16,65,87,,87,401,73.81546135,82.85714286,,15.23809524,82.85714286,61.9047619,,1,1,0,
16,15,11,LLIN,PermaNet 2.0,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Pitoa_Cameroon,22,1,3,0,1,1,20,0,36,1,1,310,63,161,175,,175,401,22.69326683,56.4516129,,20.32258065,56.4516129,51.93548387,,1,1,0,
16,15,11,CTN,deltamethrin,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Pitoa_Cameroon,22,1,3,0,1,1,3,0,36,1,1,265,76,158,111,,111,401,33.91521197,41.88679245,,28.67924528,41.88679245,59.62264151,,1,1,0,
16,15,11,LLIN,PermaNet 3.0,2,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Pitoa_Cameroon,22,2,10,0,1,0,0,0,36,1,1,146,41,85,137,,137,401,63.59102244,93.83561644,,28.08219178,93.83561644,58.21917808,,1,1,0,
16,15,11,LLIN,PermaNet 3.0,2,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Pitoa_Cameroon,22,2,10,0,1,1,20,0,36,1,1,163,40,84,127,,127,401,59.35162095,77.91411043,,24.5398773,77.91411043,51.53374233,,1,1,0,
18,17,12,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,Malanville_Benin,15,1,1,1,0,0,0,0,72,1,1,87,33,13,1,,1,NA,0,1.149425287,,37.93103448,1.149425287,14.94252874,,1,1,0,
18,17,12,LLIN,LifeNet,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,0,0,0,72,1,1,65,3,36,49,,49,87,25.28735632,75.38461538,,4.615384615,75.38461538,55.38461538,,1,1,0,
18,17,12,LLIN,LifeNet,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,20,0,72,1,1,69,1,41,48,,48,87,20.68965517,69.56521739,,1.449275362,69.56521739,59.42028986,,1,1,0,
18,17,12,LLIN,LifeNet,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,30,0,72,1,1,76,8,47,42,,42,87,12.64367816,55.26315789,,10.52631579,55.26315789,61.84210526,,1,1,0,
18,17,12,CTN,deltamethrin,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,2,0,72,1,1,62,9,33,27,,27,87,28.73563218,43.5483871,,14.51612903,43.5483871,53.22580645,,1,1,0,
18,17,12,CTN,deltamethrin,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,20,0,72,1,1,86,26,33,22,,22,87,1.149425287,25.58139535,,30.23255814,25.58139535,38.37209302,,1,1,0,
19,19,13,Untreated net,Untreated,NA,An. gambiae,An. gambiae s.l.,East,3,untreated,untreated,Muheza_Tanzania,17,1,1,1,0,0,0,0,13,1,0,146,47,NA,37,,37,NA,NA,25.6,,32.1,25.6,NA,,1,1,0,
19,19,13,LLIN,PermaNet,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,0,0,0,15,1,0,146,10,NA,143,,143,146,NA,97.7,,7,97.7,NA,,1,1,0,
19,19,13,LLIN,PermaNet,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,1,15,0,13,1,0,146,5,NA,134,,134,146,NA,91.6,,3.6,91.6,NA,,1,1,0,
19,19,13,LLIN,KO TAB,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,0,0,0,13,1,0,146,14,NA,122,,122,146,NA,83.9,,9.7,83.9,NA,,1,1,0,
19,19,13,LLIN,KO TAB,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,1,15,0,14,1,0,146,13,NA,102,,102,146,NA,70.2,,8.8,70.2,NA,,1,1,0,
19,19,13,Untreated net,Untreated,NA,An. gambiae,An. gambiae s.l.,East,3,untreated,untreated,Muheza_Tanzania,17,1,1,1,0,0,0,0,16,1,0,146,82,NA,51,,51,146,NA,34.6,,56.4,34.6,NA,,1,1,0,
19,19,13,LLIN,PermaNet,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,0,0,0,14,1,0,146,10,NA,125,,125,146,NA,85.5,,6.6,85.5,NA,,1,1,0,
19,19,13,LLIN,PermaNet,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,1,15,0,21,1,0,146,3,NA,137,,137,146,NA,93.8,,1.8,93.8,NA,,1,1,0,
19,19,13,LLIN,KO TAB,1,An. gambiae,An. gambiae s.l.,East,3,deltamethrin,pyrethroid,Muheza_Tanzania,17,1,3,0,1,1,15,0,21,1,0,146,7,NA,128,,128,146,NA,88,,4.8,88,NA,,1,1,0,
20,20,14,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,Kolokope_Togo,8,1,1,1,0,0,0,0,98,1,1,465,391,61,9,,9,NA,0,1.935483871,,84.08602151,1.935483871,13.11827957,,1,1,0,
20,20,14,LLIN,Yorkool,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Kolokope_Togo,8,1,3,0,1,0,0,0,98,1,1,389,77,111,224,,224,465,16.34408602,57.58354756,,19.79434447,57.58354756,28.53470437,,1,1,0,
20,20,14,LLIN,Yorkool,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Kolokope_Togo,8,1,3,0,1,1,20,0,98,1,1,419,137,96,182,,182,465,9.892473118,43.43675418,,32.69689737,43.43675418,22.91169451,,1,1,0,
20,20,14,LLIN,PermaNet 3.0,2,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Kolokope_Togo,8,2,10,0,1,0,0,0,98,1,1,310,16,174,257,,257,465,33.33333333,82.90322581,,5.161290323,82.90322581,56.12903226,,1,1,0,
20,20,14,LLIN,PermaNet 3.0,2,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Kolokope_Togo,8,2,10,0,1,1,20,0,98,1,1,348,26,159,226,,226,465,25.16129032,64.94252874,,7.471264368,64.94252874,45.68965517,,1,1,0,
20,20,14,LLIN,Olyset Plus,2,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin + PBO,pyrethroid + PBO,Kolokope_Togo,8,2,11,0,1,0,0,0,98,1,1,304,10,178,215,,215,465,34.62365591,70.72368421,,3.289473684,70.72368421,58.55263158,,1,1,0,
20,20,14,LLIN,Olyset Plus,2,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin + PBO,pyrethroid + PBO,Kolokope_Togo,8,2,11,0,1,1,20,0,98,1,1,356,43,141,206,,206,465,23.44086022,57.86516854,,12.07865169,57.86516854,39.60674157,,1,1,0,
22,23,15,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Mbe_Cotedivoire,16,1,1,1,0,0,0,0,24,1,1,1399,482,638,110,,110,NA,0,7.862759114,,34.45318084,7.862759114,45.60400286,,1,1,0,
22,23,15,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Mbe_Cotedivoire,16,1,4,0,1,1,3,0,24,1,1,1431,744,936,125,,125,1399,-2.287348106,8.735150245,,51.99161426,8.735150245,65.40880503,,1,1,0,
22,23,15,LLIN,PPF,2,An. gambiae s.s.,An. gambiae s.l.,West,3,pyriproxyfen,juvenile hormone mimic,Mbe_Cotedivoire,16,1,12,0,1,1,3,0,24,1,1,1024,360,468,128,,128,1399,26.80486061,12.5,,35.15625,12.5,45.703125,,1,1,0,
22,23,15,LLIN,Olyset Duo,2,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin + pyriproxyfen,pyrethroid + juvenile hormone mimic,Mbe_Cotedivoire,16,2,13,0,1,1,3,0,24,1,1,1202,453,815,177,,177,1399,14.08148678,14.72545757,,37.68718802,14.72545757,67.80366057,,1,1,0,
23,24,16,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Yaokoffikro_Cotedivoire,29,1,1,1,0,0,0,0,360,1,1,796,NA,271,54,,54,NA,0,6.783919598,,NA,6.783919598,34.04522613,,1,1,0,
23,24,16,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Yaokoffikro_Cotedivoire,29,1,3,0,1,0,0,0,360,1,1,317,NA,186,110,,110,796,60.1758794,34.70031546,,NA,34.70031546,58.67507886,,1,1,0,
23,24,16,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Yaokoffikro_Cotedivoire,29,1,3,0,1,1,20,0,360,1,1,281,NA,166,107,,107,796,64.69849246,38.07829181,,NA,38.07829181,59.0747331,,1,1,0,
23,24,16,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Yaokoffikro_Cotedivoire,29,2,10,0,1,0,0,0,360,1,1,303,NA,154,166,,166,796,61.93467337,54.78547855,,NA,54.78547855,50.82508251,,1,1,0,
23,24,16,LLIN,PermaNet 3.0,2,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Yaokoffikro_Cotedivoire,29,2,10,0,1,1,20,0,360,1,1,313,NA,157,100,,100,796,60.67839196,31.94888179,,NA,31.94888179,50.15974441,,1,1,0,
23,24,16,LLIN_Dip,KO TAB,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Yaokoffikro_Cotedivoire,29,1,4,0,1,1,5,0,360,1,1,279,NA,146,110,,110,796,64.94974874,39.4265233,,NA,39.4265233,52.3297491,,1,1,0,
